id,x,y
642,2.26158,48.91403
643,2.34463,48.88281
644,2.3466,48.88199
645,2.3793,48.84048
646,2.379,48.84042
647,2.39745,48.8389
648,2.3963,48.83865
649,2.26466,48.85735
650,2.32004,48.87465
651,2.31944,48.87453
652,2.37509,48.85576
653,2.37701,48.85327
654,2.36733,48.83056
655,2.36819,48.83107
656,2.36115,48.86814
657,2.35274,48.84369
658,2.35262,48.84112
659,2.39837,48.83757
660,2.40037,48.8362
661,2.34414,48.83081
662,2.34425,48.83111
663,2.37615,48.89639
664,2.37693,48.89652
665,2.37814,48.89627
666,2.33342,48.83375
667,2.33356,48.83372
668,2.31508,48.84043
669,2.31992,48.84186
670,2.31056,48.88817
671,2.30708,48.88784
672,2.28156,48.84938
673,2.28167,48.84931
674,2.36689,48.86246
675,2.36731,48.86265
676,2.32268,48.83823
677,2.32201,48.84
678,2.36417,48.8432
679,2.35934,48.84205
680,2.34838,48.85571
681,2.34834,48.85566
682,2.30145,48.86185
683,2.30119,48.86099
684,2.43832,48.84254
685,2.43794,48.84066
686,2.46745,48.82017
687,2.46737,48.82017
688,2.37779,48.82807
689,2.37712,48.82877
690,2.24858,48.92775
691,2.25114,48.92806
692,2.25213,48.928
